Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please give yourself a random nickname:,Which category below includes your age?,What is your gender?,,"What is your current religion or belief, if any?",How many shamanic journeys have you had before?,How often do you meditate?,,Are you going to use headphones for the listening part?,Have you used any mood altering substances including caffeine or alcohol in the last few hours?,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,Did you receive any clarification on your question?,"How easy was it to focus on the most repetitive, monotone rhythms?",In which part of the soundscape were you the most focused?,Did you have visual imagery?,Please describe your experience in words:
,,,,,,,,,Open-Ended Response,Response,Response,Other (please specify),Open-Ended Response,Response,Response,"If you meditate, please provide some details about your techniques:",Response,Response,"If yes, please specify (optional):",Open-Ended Response,Response,Open-Ended Response,Response,Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response
11465249139,250190659,02/24/2020 09:56:22 AM,02/24/2020 10:04:17 AM,,,,,,set,3,1,,Christian,2,2,"Guided meditations, staying in no thought space",1,2,,31,6,81,9,1,8,4,1,"I had an imagery that included various types and forms of light, also sculptures that reminded me of Stonehenge, a feeling of depth of time and experience. "
11365176380,250190659,02/23/2020 09:40:16 AM,02/23/2020 11:03:18 AM,,,,,,Apple ,4,1,,Nominal Christian ,1,3,,1,2,,50,9,50,9,1,50,5,2,"It was harder to focus from Level 6 to 2, as I had to turn the volume down to be able to concentrate.     I am very sensitive in my hearing and I cannot bear it for much longer in a loud environment.     I struggle to concentrate on one thing. Before I know it, I was thinking from A - B - C - ..... H. I had a lot on my mind, so my thoughts processed super fast.     "
11363454797,250190426,02/21/2020 11:43:44 PM,02/21/2020 11:57:58 PM,,,,,,Helicopter,4,2,,Buddhism,3,1,Buddhist mindfulness and metta,1,2,,30,3,19,2,2,85,0,2,"I had to stop the music at 7 minutes, it was really annoying. None of the drum beats seemed to be at all rhythmic, someone was talking, and it was too irritating to continue."
11349074111,251115691,02/16/2020 12:35:06 AM,02/16/2020 08:20:06 AM,,,,,,Dini,4,1,,Cause and effect,1,4,,1,2,,24,4,74,13,1,92,9,2,"Why chaos within and around me - where is it coming from?   What I experienced was , it was very hard to withdraw from everyday thoughts and clear the mind and focus which might be due to no experience at meditation. I have done this meditation several times and finally I think I started to sense impressions that felt were messages. The last couple of times people and situations came to mind and I realize they are all related to betrayal. Where I betrayed people with or without being aware of it at the time. Some of them I have long forgotten, they came up now one after the other. Even from nursery at the age of 3, also with people I have not seen or thought of for decades and even family members who I talk to regularly but I forgot about those situations when I did not help them or hurt them. Had a strong feeling that whatever allows these situations happen should be not part of me and causes me difficulty to identify with my own past.   Not sure about the next step, but I will definitely make time for meditation thanks to this experience.   I hesitate to mention this, but... whenever I hear a number now, the countdown from the meditation keeps repeating in my mind. A silly example when a shop announces to open till 4, my mind will keep repeating level 4 and starts counting down with the same tone as in the meditation. Every time someone else mentions a number. Thanks for the experience!"
11347351897,251115691,02/14/2020 10:26:59 PM,02/14/2020 10:53:54 PM,,,,,,suz,7,1,,spiritualist/pagan,5,1,"guided, sharmanic and sitting in the stillness",2,1,1 weak cup of coffee,36,6,85,16,1,31,9,1,Can  not draw as it was a moving feast of visions and landscpes/ scenes all seemed about equal in importance and changed as rythem changed especially from about the half way mark when visions speeded up - feel I was deeper by then  would love a copy of this meditation to experiment further with under different circumstances and see how it changes  
11339208658,250190426,02/11/2020 09:06:51 PM,02/11/2020 10:25:18 PM,,,,,,Herbert,2,2,,I believe in nature,1,1,I light a candle and follow the flickering light with my eyes whilst sitting crossed-legged.,1,2,,34,10,54,13,2,63,0,2,"During the beginning, I could follow the rhythm quite easily and felt my body loading up with energy/vibration. I felt my energetic field in front of me activating, as if it was being pushed from behind, in a calm fashion. After level 8, I felt my mind drifting away and it became increasingly difficult to stay focused. I could feel the energy that built up during the first half disappear and only come back slightly here and there. At times, my patience was strained and I felt like opting out sooner, but I'm happy I had the strength to carry on until the end. The outcome was positive though, even though I feel more tired, the edginess and discontent I was carrying with me throughout the day have been calmed a bit, which feels nice. Or more - I am accepting more that my energetic disbalances today have occurred and that pain is not a punishment. Something I have been working on for a while, but the outcome of this meditation acted as a small reminder of this, coming not from an intellectual level but from an emotional level."
11338122602,252934861,02/11/2020 03:14:26 PM,02/11/2020 03:43:16 PM,23.55.59.73,,,,,k,4,2,,nono,3,2,,1,1,tea,57,8,68,7,2,70,12,1,"The tea I had was not too strong, but I feel that it has made me a bit tense. I listened to the soundscape in an open space with many students around my talking, working on computers. This might not be a good idea, I should find a better place. In general it does not disturb me that there are many people around me however some of the sounds people make are unexpected and loud.   I was thinking quite a lot about the future, nothing really remained from those stories in my memory. Towards the end the flashing images became a bit more fluid, however, I didn't not see many clear shapes structures for a while. One thing that was continuous was the purple colour. It was just in patches at the beginning, however, later it came out of a mouth (female) as if it was smoke. I tried to see different colour but could not really. There was a time where I felt as I could lift this colour and see underneath where it was light blue. There was a house, that reminded me of a presshouse close to where the almond trees are. The almond trees were purple as well. No real answer. "
11336278606,251115691,02/10/2020 08:32:00 PM,02/10/2020 08:58:50 PM,,,,,,Inner,3,2,,None,1,3,,1,2,,88,13,37,3,2,55,11,2,"Intense experience with moments of feeling like accessing to another realm. Just instantly and without continuation. My brain was softly active deepening into the questions but without any deep insight into them. The intensity by the end has become slightly uncomfortable as I was getting more sleep. I felt my mouth really dry by the end, giving me a somehow uncomfortable feeling with a slight headache. "
11330638164,251115691,02/07/2020 03:36:05 PM,02/07/2020 05:04:24 PM,,,,,,ruby shoes,6,1,,leaning towards Buddhism otherwise agnostic,5,1,"I meditate focusing on my breath, sometimes I will do ""open awareness"" meditations",1,1,I have drank tea,77,13,60,5,1,29,13,1,"I used this shamanic journey to visit with my 4 spirit guides for help with my guiding question. While I feel that I did receive help with it, I found it difficult to focus on the journey. My thoughts kept intruding and my mind wandered many times. I know that this is a normal part of the meditation experience and was disappointed that my focus was not better.   It was very easy to remain focused on the most repetitive beat and the other sounds did not seem to be too distracting, if at all. However, I found the voice announcing the different levels to be distracting and I found myself feeling  rushed/agitated to move along with the shamanic journeying. It was not a relaxing, ""go with the flow"" type of journey that I have experienced in the past."
