Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Találjon ki magának egy becenevet:,Melyik alábbi kategóriába tartozik az Ön korosztálya?,Mi a neme?,,"Mi a jelenlegi vallása vagy hite, ha van?",Hány sámán utazása volt korábban?,Milyen gyakran meditál?,,Fog fejhallgatót használni a hallgatáshoz?,"Használt-e valamilyen tudatmódosító szert, beleértve koffeint vagy alkoholt az elmúlt néhány órában?",,Mennyire érzi magát most koncentráltnak? (Kérem mozgassa meg a csúszkát.),"Válasszon egy számot az alábbi körből, hogy jelezze, most hogy érzi magát:",Mennyire érzi magát most koncentráltnak? (Kérem mozgassa meg a csúszkát.),"Válasszon egy számot az alábbi körből, hogy jelezze, hogy érzi magát:",Kapott választ a kérdésére?,"Mennyire volt könnyű a leginkább ismétlődő, monoton ritmusokra koncentrálni? (Kérem mozgassa meg a csúszkát.)",A zene melyik részén volt a legkoncentráltabb? (Kérem mozgassa meg a csúszkát.),Látott vizuális képeket a meditáció alatt?,"Kérjem, szavakkal írja le tapasztalatait:"
,,,,,,,,,Open-Ended Response,Response,Response,Egyéb (kérem nevezze meg),Open-Ended Response,Response,Response,"Ha meditál, kérem részletezze technikáit:",Response,Response,"Ha igen, kérjem, részletezze (nem kötelező):",Open-Ended Response,Response,Open-Ended Response,Response,Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response
11338139242,252127103,02/11/2020 03:20:04 PM,02/11/2020 03:49:24 PM,,,,,,Zed ,4,2,,Omnists,1,4,,1,1,Koffein ,51,10,71,16,2,15,3,2,Great 
11334490880,252127103,02/10/2020 07:30:02 AM,02/10/2020 08:16:39 AM,,,,,,Biblia,4,2,,Keresztény,1,4,,2,2,,60,10,47,3,2,29,11,1,"Kedves Zeneszerző, Utazásszervező! :)    A meditációt nem sokkal reggeli felkelés után végeztem. A zene nagyon tetszik, szép munka. A teljes ellazulás testi síkon számomra nem igazán egyszerű egy krónikus izületi betegségem miatt (többször el kellett fordítanom a fejem picit, vagy a fekvő pozíciómat enyhén korrigálnom kellett) és ez véleményem szerint hatással van a meditáció mélységének a fokára is. Ennek ellenére képek időnként megjelentek. Egy kanyon melynek közepén és egyben tetején a nap (talán kissebb volt, mint az életben) sugározva fehéren világít, szemek villantak fel, egy berendezett szoba is megjelent egy pillanatra majd embereket láttam egymás vállára állva körülbelül öt embernyi magasságban. A képeket időrendi sorendben írtam le és körülbelül a zene felétől kezdtek megjelenni néhány perces időközönként. A jelentésükön úgy érzem gondolkoznom kell még. Érdekes utazás volt, köszönöm szépen."
11319940622,252127103,02/03/2020 10:57:55 PM,02/03/2020 11:02:32 PM,,,,,,En,4,1,,-0,1,3,Zene,2,2,,68,6,40,10,2,34,0,2,A ritmus ellazitott szinte el is aludtam.
11299875088,252127103,01/26/2020 11:29:22 AM,01/26/2020 11:59:34 AM,,,,,,Csibe,4,1,,Katolikus,1,1,Napi 20-25 perc reggel csendben.,1,1,Koffein,67,13,92,7,2,16,8,1,"Nagyon tetszett a zene, a ritmusra könnyen tudtam fókuszálni, bár a gondolatok cikáztak néha ez egy pár mp-ig elvette a figyelmem a zenéről. Sokkal frissebb vagyok, mint előtte!"
11283146304,252127103,01/18/2020 09:22:55 AM,01/18/2020 10:21:13 AM,,,,,,mógi,4,2,,ateista vagyok,1,4,,1,1,koffeint,32,5,65,13,2,14,10,1,"Különböző természeti képeket láttam, melyek az idő, az évszakok változását gyorsítva, mintegy színpompás változatban jelenítették meg... Láttam fák kihajtását... A csemetekortól a lombkoronáig, mindezt szintén gyorsítva, gyönyörű színekben, de levél nem volt rajtuk... Mint az égig érő fa az ősmagyar mondavilágban... Láttam lobogó tüzet... De végig olyan érzésem volt, teljesen egyedül vagyok a Föld-bolygón, mint ember. Köszönöm a lehetőséget, nem hittem volna, hogy ilyen utazásban lesz részem, szinte transzba estem, nem volt még ilyen élményem!"
11279284243,252127103,01/16/2020 05:14:39 PM,01/16/2020 05:50:56 PM,,,,,,Bruno,4,2,,"Római katolikus, de nem gyakorlom",1,4,,1,1,"1 kávé, kb. 2 órája",70,13,40,10,2,76,15,2,"A végére sikerült jobban elmerüljek a zenében, közel lehetett, hogy tényleg meditáció legyen belőle (bár azt igazán még sosem éltem át). Megpróbálom mégegyszer majd felkelés után, kávé nélkül.  Akkor Bruno 2 nevet adok majd."
11278816579,252127103,01/16/2020 02:28:20 PM,01/16/2020 03:04:02 PM,,,,,,Samajik,4,2,,"semmi ,csak meditálgatok",1,2,"fókuszolás , mantra",1,2,kávé,35,11,53,11,1,58,5,1,"Szerintem a körülmények is fontosak ,egyedül ,háttérzaj stb. amikor elkzdtem hallgatni a zenét a háttérben ""keletkeztek"" zajook ,amik miatt nehezebb lett figyelni ,kandalló zaja konyhai stb, de valahogy ezek elmélyítették az élményt egy idő után  Jó zene  kaptam e választ a kérdésre ez nem egyértelmű a kérdés forgott,de nem egyértelmű a válasz ..    melyik részn volt koncentráltabb   hullámzó "
11275135895,252127103,01/15/2020 06:27:04 AM,01/15/2020 07:12:21 AM,,,,,,Samil,5,2,,"A kételkedésben hiszek, vallásom nincs.",5,1,"Olvasott, tanított és magam által kitalált technikák elegye. Ami nekem tetszik, kb.",2,1,kávé,49,13,50,12,1,0,10,1,"Lerajzolni nem lehet, level 6-nál szines ""ködök"" kék, lila a fekete háttérben, formára mint a csillagködök az égen. Az addig eltelt szintek szinte teljesen kiestek, nem is emlékszem rájuk.  Ezenkívül sok valós helyszín is megjelent a képzeletemben, amelyek átalakultak egy képzeletbeli helyszínné, mintegy mutatva a folyamatokat amelyek foglalkoztatnak. Néha ott voltam ÉN is a valós helyszínen, néha kívülről, vagy felülről szemléltem a dolgokat. Nem csak a magamban előre feltett kérdéssel kapcsolatban lévő helyszínek, szereplők, stb. jelentek meg, hanem a velük összefüggő dolgok, események (ugye minden mindennel összefügg), így aztán eléggé eltávolodtam a kezdeti kérdéstől. Bejártam az egész Földet, de nem írok többet így is elég nagyképűnek tűnik amiket elmondtam.  Amúgy nagyon érdekel a felmérés, az eredmények, bár nekem nagyon sok negatív tapasztalatom van a mai magyar ""táltos"" társadalmat illetőleg.  A zene egyébként kiváló, kicsit zavaró háttérzaj (sistergés) van benne, de nagyon profi, azt hiszem le is mentem magamnak!"
11274001024,252127103,01/14/2020 07:24:33 PM,01/14/2020 07:54:03 PM,,,,,,Mateebass,4,2,,Nincs ,1,4,,1,2,,69,16,59,11,2,19,8,1,"Kellemes volt, tetszett az dobok és hangok felépítése. Sajnos nehezen tudok teljesen kikapcsolni es neha elklandoztam aktuális mindennapi pontokhoz is a gondolataimban. "
