Shamanic Meditation

Q1. Please give yourself a random nickname:
Answered,78
Skipped,0


Q2. Which category below includes your age?
Answer Choices,Response Percent,Responses
Under 18,0.0%,0
18-24,11.54%,9
25-34,29.49%,23
35-44,29.49%,23
45-54,15.38%,12
55-64,7.69%,6
65+,6.41%,5
,Answered,78
,Skipped,0


Q3. What is your gender?
Answer Choices,Response Percent,Responses
Female,43.59%,34
Male,56.41%,44
Other (please specify),,0.0
,Answered,78
,Skipped,0


"Q4. What is your current religion or belief, if any?"
Answered,78
Skipped,0


Q5. How many shamanic journeys have you had before?
Answer Choices,Response Percent,Responses
0,44.87%,35
1,8.97%,7
2-10,29.49%,23
10-25,1.28%,1
25+,15.38%,12
,Answered,78
,Skipped,0


Q6. How often do you meditate?
Answer Choices,Response Percent,Responses
Often,44.87%,35
Sometimes,23.08%,18
Rarely,20.51%,16
Never,11.54%,9
"If you meditate, please provide some details about your techniques:",,51.0
,Answered,78
,Skipped,0


Q7. Are you going to use headphones for the listening part?
Answer Choices,Response Percent,Responses
Yes,78.21%,61
No,21.79%,17
,Answered,78
,Skipped,0


Q8. Have you used any mood altering substances including caffeine or alcohol in the last few hours?
Answer Choices,Response Percent,Responses
Yes,25.64%,20
No,74.36%,58
"If yes, please specify (optional):",,20.0
,Answered,78
,Skipped,0


Q9. How focused do you feel now?
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),60.58974358974359,4726.0,100.0%,78
,,,Answered,78
,,,Skipped,0


Q10. Choose a number from the circle below to indicate how you feel:
Answer Choices,Response Percent,Responses
1,0.0%,0
2,0.0%,0
3,2.56%,2
4,5.13%,4
5,6.41%,5
6,11.54%,9
7,2.56%,2
8,3.85%,3
9,3.85%,3
10,16.67%,13
11,0.0%,0
12,5.13%,4
13,20.51%,16
14,6.41%,5
15,0.0%,0
16,12.82%,10
17,2.56%,2
,Answered,78
,Skipped,0


Q11. How focused do you feel now?
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),70.34615384615384,5487.0,100.0%,78
,,,Answered,78
,,,Skipped,0


Q12. Choose a number from the circle below to indicate how you feel:
Answer Choices,Response Percent,Responses
1,0.0%,0
2,2.56%,2
3,2.56%,2
4,0.0%,0
5,2.56%,2
6,5.13%,4
7,8.97%,7
8,6.41%,5
9,7.69%,6
10,8.97%,7
11,2.56%,2
12,2.56%,2
13,24.36%,19
14,5.13%,4
15,0.0%,0
16,17.95%,14
17,2.56%,2
,Answered,78
,Skipped,0


Q13. Did you receive any clarification on your question?
Answer Choices,Response Percent,Responses
Yes,50.0%,39
No,50.0%,39
,Answered,78
,Skipped,0


"Q14. How easy was it to focus on the most repetitive, monotone rhythms?"
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),37.833333333333336,2951.0,100.0%,78
,,,Answered,78
,,,Skipped,0


Q15. In which part of the soundscape were you the most focused?
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),9.23076923076923,720.0,100.0%,78
,,,Answered,78
,,,Skipped,0


Q16. Did you have visual imagery?
Answer Choices,Response Percent,Responses
Yes,46.15%,36
No,53.85%,42
,Answered,78
,Skipped,0


Q17. Please describe your experience in words:
Answered,78
Skipped,0


Q18. Please add your email address if you'd like to be updated on the outcomes of this survey (optional):
Answered,57
Skipped,21


