Sámán Meditáció

Q1. Találjon ki magának egy becenevet:
Answered,11
Skipped,0


Q2. Melyik alábbi kategóriába tartozik az Ön korosztálya?
Answer Choices,Response Percent,Responses
18 alatt,0.0%,0
18-24,0.0%,0
25-34,0.0%,0
35-44,81.82%,9
45-54,18.18%,2
55-64,0.0%,0
65+,0.0%,0
,Answered,11
,Skipped,0


Q3. Mi a neme?
Answer Choices,Response Percent,Responses
Nő,27.27%,3
Férfi,72.73%,8
Egyéb (kérem nevezze meg),,0.0
,Answered,11
,Skipped,0


"Q4. Mi a jelenlegi vallása vagy hite, ha van?"
Answered,11
Skipped,0


Q5. Hány sámán utazása volt korábban?
Answer Choices,Response Percent,Responses
0,90.91%,10
1,0.0%,0
2-10,0.0%,0
10-25,0.0%,0
25+,9.09%,1
,Answered,11
,Skipped,0


Q6. Milyen gyakran meditál?
Answer Choices,Response Percent,Responses
Gyakran,18.18%,2
Néha,18.18%,2
Ritkán,9.09%,1
Soha,54.55%,6
"Ha meditál, kérem részletezze technikáit:",,4.0
,Answered,11
,Skipped,0


Q7. Fog fejhallgatót használni a hallgatáshoz?
Answer Choices,Response Percent,Responses
Igen,72.73%,8
Nem,27.27%,3
,Answered,11
,Skipped,0


"Q8. Használt-e valamilyen tudatmódosító szert, beleértve koffeint vagy alkoholt az elmúlt néhány órában?"
Answer Choices,Response Percent,Responses
Igen,54.55%,6
Nem,45.45%,5
"Ha igen, kérjem, részletezze (nem kötelező):",,7.0
,Answered,11
,Skipped,0


Q9. Mennyire érzi magát most koncentráltnak? (Kérem mozgassa meg a csúszkát.)
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),60.36363636363637,664.0,100.0%,11
,,,Answered,11
,,,Skipped,0


"Q10. Válasszon egy számot az alábbi körből, hogy jelezze, most hogy érzi magát:"
Answer Choices,Response Percent,Responses
1,0.0%,0
2,0.0%,0
3,0.0%,0
4,0.0%,0
5,9.09%,1
6,9.09%,1
7,0.0%,0
8,0.0%,0
9,0.0%,0
10,18.18%,2
11,9.09%,1
12,0.0%,0
13,36.36%,4
14,0.0%,0
15,0.0%,0
16,18.18%,2
17,0.0%,0
,Answered,11
,Skipped,0


Q11. Mennyire érzi magát most koncentráltnak? (Kérem mozgassa meg a csúszkát.)
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),59.18181818181818,651.0,100.0%,11
,,,Answered,11
,,,Skipped,0


"Q12. Válasszon egy számot az alábbi körből, hogy jelezze, hogy érzi magát:"
Answer Choices,Response Percent,Responses
1,0.0%,0
2,0.0%,0
3,9.09%,1
4,0.0%,0
5,0.0%,0
6,0.0%,0
7,9.09%,1
8,0.0%,0
9,0.0%,0
10,27.27%,3
11,27.27%,3
12,9.09%,1
13,9.09%,1
14,0.0%,0
15,0.0%,0
16,9.09%,1
17,0.0%,0
,Answered,11
,Skipped,0


Q13. Kapott választ a kérdésére?
Answer Choices,Response Percent,Responses
Igen,18.18%,2
Nem,81.82%,9
,Answered,11
,Skipped,0


"Q14. Mennyire volt könnyű a leginkább ismétlődő, monoton ritmusokra koncentrálni? (Kérem mozgassa meg a csúszkát.)"
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),28.181818181818183,310.0,100.0%,11
,,,Answered,11
,,,Skipped,0


Q15. A zene melyik részén volt a legkoncentráltabb? (Kérem mozgassa meg a csúszkát.)
Answer Choices,Average Number,Total Number,Response Percent,Responses
(no label),8.363636363636363,92.0,100.0%,11
,,,Answered,11
,,,Skipped,0


Q16. Látott vizuális képeket a meditáció alatt?
Answer Choices,Response Percent,Responses
Igen,72.73%,8
Nem,27.27%,3
,Answered,11
,Skipped,0


"Q17. Kérjem, szavakkal írja le tapasztalatait:"
Answered,11
Skipped,0


"Q18. Kérjük, adja meg e-mail címét, ha frissítést szeretne kapni a felmérés eredményéről (nem kötelező):"
Answered,8
Skipped,3


