Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please give yourself a random nickname:,Which category below includes your age?,What is your gender?,,"What is your current religion or belief, if any?",How often do you meditate?,,Have you used any mood altering substances including caffeine or alcohol in the last few hours?,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,I understand that for the listening part,,,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,In which part of the soundscape were you the most focused?,"Did you notice that one of the levels was missing? If yes, which one? ",Did you have visual imagery?,Please describe your experience in words:,How many shamanic journeys have you had before?,Please add your email address if you'd like to be updated on the outcomes of this survey (optional):
,,,,,,,,,Open-Ended Response,Response,Response,Other (please specify),Open-Ended Response,Response,"If you meditate, please provide some details about your techniques:",Response,"If yes, please specify (optional):",Open-Ended Response,Response,"my environment needs to be comfortable, safe and undisturbed;",my body should not concentrate on digestion;,I need to use headphones;,that one soundscape contains binaural beats.,Open-Ended Response,Response,Open-Ended Response,Response,Response,Open-Ended Response,Response,Open-Ended Response
11745032030,261612847,06/26/2020 12:15:11 PM,06/30/2020 07:20:37 AM,,,,,,Elizabeth ,4,1,,None ,2,"If I meditate it will be guided meditations recommended to me, so I don't feel like I really have a ""Technique"" ",1,1 x coffee ,85,13,1,2,3,4,91,16,10,1,2,"I usually have a difficult time meditating. It's hard for me to stop having thoughts while attempting to meditate and when I do have them, I try to notice them and let them pass without engaging in them. But this meditation was marginally different - I found it deeply relaxing and my mind was more engaged with the beats and far less distracted by the thoughts trying to intrude. I have never done shamanic journeying before but have friends who do it regularly and after this experience, well I am thinking about what more I could discover. It's inspired me at the very least to explore more in the world of binaural beats. ",1,
11738225871,261612847,06/28/2020 11:58:00 AM,06/28/2020 12:24:35 PM,,,,,,Jam,3,2,,Cristian,4,,2,,50,6,1,2,3,4,64,5,9,1,1,Visions of dancing or combat,3,
11738221906,261612847,06/28/2020 11:51:24 AM,06/28/2020 11:57:37 AM,,,,,,Jam,3,2,,christian,4,,2,,50,6,1,2,3,4,,,,,,,,
11737580974,261372608,06/27/2020 10:19:04 PM,06/28/2020 12:01:05 AM,,,,,,eu,4,1,,in energy,1,Integrated Amrita Meditation (IAM) Technique created by Amma,2,,84,13,1,2,3,4,80,17,10,1,1,on the upper left side i saw the stars moving in circles in a dark sky.  After a while on the upper right side i saw a dot of white light,2,
11737000090,261612847,06/27/2020 04:09:44 PM,06/27/2020 07:01:20 PM,,,,,,Aa,3,1,,Spiritual,2,,2,,9,4,1,2,3,4,39,9,3,1,2,Sorry,2,
11734333427,261612847,06/26/2020 04:06:06 PM,06/26/2020 05:00:05 PM,,,,,,Spiralkit,3,2,,Not religious,2,"Sitting in Sukhasana pose, closed eyes, controlled breathing, focusing on an anchor.",2,,77,10,1,2,3,4,93,16,8,1,1,"Meditative, tranquil, focussed. That was how I felt after experiencing the journey. It started with me focussing on the content of the sound. As the soundscape progressed my focus shifted from the track to the closed eyed visuals. They were quite abstract, fractal, sometimes taking the same of leaves. I'm not good at drawing otherwise I would've shared them. The rest of the journey was a shift of focus between the visuals and my journey question.",1,
11733535831,261612847,06/26/2020 11:58:03 AM,06/26/2020 12:00:31 PM,,,,,,Tjofrasse,4,2,,"Sort of like Spinoza, pantheism",4,,1,Coffee,90,15,1,2,3,4,30,17,3,1,2,"The answer to my question came immediately, because I realized I already knew it. I felt happy and knew what things I want to pursue more. I had lots of associations and my thoughts ran freely. I tried to get back to just focus on the music occasionaly. I felt surprisingly sleepy. Now my body feels very relaxed and heavy. The journey brought things I knew to the surface with more clarity. It was a very pleasant experience and I feel refreshed but also a bit disoriented, like the subconscious has been stirred up and I need to digest the experience a bit. And I look forward to all sensations the day will bring and the path I will pursue in the future.                                                                                                ",2,
11733407338,261372608,06/26/2020 10:58:12 AM,06/26/2020 11:53:15 AM,,,,,,Tjofrasse,4,2,,Sort of like Spinoza,4,,1,Coffee,90,15,1,2,3,4,20,17,0,1,2,"The answer to my question came immediately, because I realized I already knew it. I felt happy and knew what things I want to pursue more. I had lots of associations and my thoughts ran freely. I tried to get back to just focus on the music occasionaly. I felt surprisingly sleepy. Now my body feels very relaxed and heavy. The journey brought things I knew to the surface with more clarity. It was a very pleasant experience and I feel refreshed but also a bit disoriented, like the subconscious has been stirred up and I need to digest the experience a bit. And I look forward to all sensations the day will bring and the path I will pursue in the future.                                                    ",2,
11725814852,262668959,06/24/2020 12:29:55 PM,06/24/2020 12:55:06 PM,,,,,,Monica,4,1,,Jedi. ,2,All sorts - buddhist etc,1,"Decaff coffee, so low amount of caffeine",34,6,1,2,3,4,50,9,11,1,2,"At times it felt really good, like flying along with the music and then sometimes my thoughts took me out of it.",2,
