How focused do you feel now?

Respondents,Response Date,,Tags

1,Jun 30 2020 07:21 AM,91,
2,Jun 28 2020 12:25 PM,64,
3,Jun 28 2020 12:01 AM,80,
4,Jun 27 2020 07:01 PM,39,
5,Jun 26 2020 05:00 PM,93,
6,Jun 26 2020 12:01 PM,30,
7,Jun 26 2020 11:53 AM,20,
8,Jun 24 2020 12:55 PM,50,
9,Jun 24 2020 08:30 AM,90,
10,Jun 24 2020 04:01 AM,77,
11,Jun 20 2020 02:50 PM,40,
12,Jun 19 2020 10:59 AM,100,
13,Jun 15 2020 11:25 AM,80,
14,Jun 15 2020 10:40 AM,95,
15,Jun 13 2020 12:36 AM,98,
16,Jun 12 2020 04:25 PM,50,
17,Jun 12 2020 10:31 AM,64,
18,Jun 11 2020 02:51 AM,40,
19,Jun 10 2020 07:58 PM,36,
20,Jun 09 2020 12:51 PM,39,
21,Jun 09 2020 11:38 AM,67,
22,Jun 08 2020 03:03 PM,65,
23,Jun 08 2020 09:00 AM,75,
24,Jun 07 2020 10:55 PM,86,
25,Jun 07 2020 05:36 PM,85,
26,Jun 07 2020 11:33 AM,81,
27,Jun 06 2020 03:02 PM,90,
28,Jun 06 2020 10:49 AM,70,

