In which part of the soundscape were you the most focused?

Respondents,Response Date,,Tags

1,Jun 30 2020 07:21 AM,10,
2,Jun 28 2020 12:25 PM,9,
3,Jun 28 2020 12:01 AM,10,
4,Jun 27 2020 07:01 PM,3,
5,Jun 26 2020 05:00 PM,8,
6,Jun 26 2020 12:01 PM,3,
7,Jun 26 2020 11:53 AM,0,
8,Jun 24 2020 12:55 PM,11,
9,Jun 24 2020 08:30 AM,5,
10,Jun 24 2020 04:01 AM,9,
11,Jun 20 2020 02:50 PM,12,
12,Jun 19 2020 10:59 AM,0,
13,Jun 15 2020 11:25 AM,10,
14,Jun 15 2020 10:40 AM,11,
15,Jun 13 2020 12:36 AM,7,
16,Jun 12 2020 04:25 PM,16,
17,Jun 12 2020 10:31 AM,9,
18,Jun 11 2020 02:51 AM,9,
19,Jun 10 2020 07:58 PM,6,
20,Jun 09 2020 12:51 PM,11,
21,Jun 09 2020 11:38 AM,9,
22,Jun 08 2020 03:03 PM,12,
23,Jun 08 2020 09:00 AM,11,
24,Jun 07 2020 10:55 PM,14,
25,Jun 07 2020 05:36 PM,4,
26,Jun 07 2020 11:33 AM,9,
27,Jun 06 2020 03:02 PM,12,
28,Jun 06 2020 10:49 AM,3,

