Please describe your experience in words:

Respondents,Response Date,Responses,Tags

1,Jun 30 2020 07:21 AM,"I usually have a difficult time meditating. It's hard for me to stop having thoughts while attempting to meditate and when I do have them, I try to notice them and let them pass without engaging in them. But this meditation was marginally different - I found it deeply relaxing and my mind was more engaged with the beats and far less distracted by the thoughts trying to intrude. I have never done shamanic journeying before but have friends who do it regularly and after this experience, well I am thinking about what more I could discover. It's inspired me at the very least to explore more in the world of binaural beats. ",
2,Jun 28 2020 12:25 PM,Visions of dancing or combat,
3,Jun 28 2020 12:01 AM,"on the upper left side i saw the stars moving in circles in a dark sky.
After a while on the upper right side i saw a dot of white light",
4,Jun 27 2020 07:01 PM,Sorry,
5,Jun 26 2020 05:00 PM,"Meditative, tranquil, focussed. That was how I felt after experiencing the journey. It started with me focussing on the content of the sound. As the soundscape progressed my focus shifted from the track to the closed eyed visuals. They were quite abstract, fractal, sometimes taking the same of leaves. I'm not good at drawing otherwise I would've shared them. The rest of the journey was a shift of focus between the visuals and my journey question.",
6,Jun 26 2020 12:01 PM,"The answer to my question came immediately, because I realized I already knew it. I felt happy and knew what things I want to pursue more. I had lots of associations and my thoughts ran freely. I tried to get back to just focus on the music occasionaly. I felt surprisingly sleepy. Now my body feels very relaxed and heavy. The journey brought things I knew to the surface with more clarity. It was a very pleasant experience and I feel refreshed but also a bit disoriented, like the subconscious has been stirred up and I need to digest the experience a bit. And I look forward to all sensations the day will bring and the path I will pursue in the future.                                                                                                ",
7,Jun 26 2020 11:53 AM,"The answer to my question came immediately, because I realized I already knew it. I felt happy and knew what things I want to pursue more. I had lots of associations and my thoughts ran freely. I tried to get back to just focus on the music occasionaly. I felt surprisingly sleepy. Now my body feels very relaxed and heavy. The journey brought things I knew to the surface with more clarity. It was a very pleasant experience and I feel refreshed but also a bit disoriented, like the subconscious has been stirred up and I need to digest the experience a bit. And I look forward to all sensations the day will bring and the path I will pursue in the future.                                                    ",
8,Jun 24 2020 12:55 PM,"At times it felt really good, like flying along with the music and then sometimes my thoughts took me out of it.",
9,Jun 24 2020 08:30 AM,"At first, I was planing in the space for a long time, then I arrived on a planet, which looks like the moon. 
There were some beings, I walked with them and went down to a big cave, where there was a lake, I swimmed in the lake with strange fishes.
Then I suddenly arrived in a place very green with a lot of grass, I could see also mountains, I was meditating there, humans arrived and meditate with me. After a while we all danced around a fire. It was symbolizing the union of appearance and vacuity. Then I traveled newly through the space to arrive in my room.
For the final minutes, I was just listening without new visualisation.

For the question I choose, I have had an answer, not precise, but a direction which I will perhaps follow.",
10,Jun 24 2020 04:01 AM,"began very jumbled / bubbly feeling then after a time moved quiet deep started to lighten when rythem changed to steady heavy beet surrounded in healing blue colour then kept coming back lighter to the end. Definately feel better than when commenced  more in balance and centred energy
",
11,Jun 20 2020 02:50 PM,"Until level 9: Dark jungle: a noisy party at night, dangerous, black snake, another party full of green and red lights across a lake
Level 8-6: falling in the lake but still moving towards the party across, emotional, struggling, flying out finally
Falling asleep after level 6
Level 1: waking up in a cave, bright day light around from a big opening above, dessert? beach? ",
12,Jun 19 2020 10:59 AM,"I usually medidate in silence without music but if I was to use music I would prefer a sound that doesn’t have a beat into it, a more ambient soundscape. I kind of struggled to meditate with the rhytmic beat on and I felt it more as listening to music instead of meditating.",
