How often do you meditate?

Respondents,Response Date,"If you meditate, please provide some details about your techniques:",Tags

1,Jun 30 2020 06:49 AM,"If I meditate it will be guided meditations recommended to me, so I don't feel like I really have a ""Technique"" ",
2,Jun 27 2020 11:21 PM,Integrated Amrita Meditation (IAM) Technique created by Amma,
3,Jun 26 2020 04:14 PM,"Sitting in Sukhasana pose, closed eyes, controlled breathing, focusing on an anchor.",
4,Jun 24 2020 12:32 PM,All sorts - buddhist etc,
5,Jun 24 2020 07:51 AM,I am just open to everything like mindfulness,
6,Jun 24 2020 03:34 AM,"variuos - stillness, sitting in the power, journying, emptyness",
7,Jun 23 2020 10:35 PM,Vipassana,
8,Jun 20 2020 01:23 PM,"Drifting away in noises, in a crowd...",
9,Jun 19 2020 10:30 AM,"The first technique is called Vipasana in which I sit with my eyes closed observing the rise and fall of the belly, in that meditation nothing is a distraction, no thought or feeling or emotion, the second one is called Zazen in which I sit in front of a blank wall staring it with my eyes half open for 30 minutes",
10,Jun 19 2020 10:26 AM,"I do 2 different techniques, the first one is called Vipasana Meditation in which I sit in a relaxed position with eyes closed and observe the rise and the fall of the belly, in that particular meditation nothing is a distraction, any thought, feeling, emotion etc is welcome, by the time I catch myself not observing the belly I get back into that observation and it goes on and on like that for an hour. The second one is called Zazen and it is zen meditation in which I sit in front of a blank wall staring with the eyes half closed and keeping the body movement to a bare minimum. It is amazing to notice how many hallucinations and thoughts the mind projects in order to prevent one from just doing nothing for 30 minutes.",
11,Jun 12 2020 11:44 PM,"Focus on breath and allow thoughts to unfold like a film credit, with no investment. When I get lost in thought, I come back to breath. Rinse and repeat. I sit nightly for 20mins before bed.",
12,Jun 12 2020 03:49 PM,Close my eyes and focus on my breathing,
13,Jun 12 2020 09:52 AM,Mindfulness meditations,
14,Jun 11 2020 02:22 AM,mantra meditation,
15,Jun 10 2020 07:25 AM,Breath,
16,Jun 09 2020 06:31 PM,Mindful breathing,
17,Jun 09 2020 12:15 PM,"Focus on breathing And RAIN, visualisation, somatic",
18,Jun 09 2020 11:11 AM,Guided meditation before sleep,
19,Jun 08 2020 11:53 AM,Vipassina - following the breath,
20,Jun 08 2020 08:08 AM,Following a guide such as Headspace,
21,Jun 07 2020 10:26 PM,Vipassana ,
22,Jun 07 2020 10:15 PM,Vipassana ,
23,Jun 07 2020 10:14 PM,"Yoga, TM, Mindfulness",
24,Jun 07 2020 04:57 PM,Mindfulness,
25,Jun 07 2020 11:07 AM,Breath focus. I also chant. I do inner dance sound meditation regularly ,
26,Jun 07 2020 10:50 AM,Breath practice. I do inner dance regularly which is a sound meditation. ,
27,Jun 06 2020 02:30 PM,"Twice per day, lieing down, sometimes guided, sometimes not. ",
28,Jun 06 2020 02:25 PM,I do both guided and non guided. I tend to do it lieing down in a comfy place and been doing it twice a day for 3 months. ,

