Have you used any mood altering substances including caffeine or alcohol in the last few hours?

Respondents,Response Date,"If yes, please specify (optional):",Tags

1,Jun 30 2020 06:49 AM,1 x coffee ,
2,Jun 26 2020 11:59 AM,Coffee,
3,Jun 26 2020 11:05 AM,Coffee,
4,Jun 24 2020 12:32 PM,"Decaff coffee, so low amount of caffeine",
5,Jun 20 2020 01:23 PM,one sip of my husband's coffee,
6,Jun 10 2020 07:56 PM,tea,
7,Jun 09 2020 11:11 AM,Coffee 2hrs ago,
8,Jun 07 2020 10:14 PM,Tea,
9,Jun 07 2020 11:07 AM,Coffee ,
10,Jun 07 2020 10:50 AM,Coffee 2 cups in last four hours ,

